id,PDF,Link,title,author,issued,type,title-short,container-title,editor,publisher,publisher-place,page,chapter,volume,number,issue,doi
agm1985,agm1985.pdf (https://dl.airtable.com/jVqw1vbSzSpFSDdl36FA_agm1985.pdf),,On the logic of theory change: Partial meet contraction and revision functions,"alchouron-c,gaardenfors-p,makinson-d",1985,article-journal,,Journal of Symbolic Logic,,,,510-530,,50,2,,
anderbois2010,anderbois2010.pdf (https://dl.airtable.com/rB6cEZjyQi2CV8hae7xO_anderbois2010.pdf),,Sluicing as anaphora to issues,anderbois-s,2010,article-journal,,Proceedings of SALT,,,,,,20,,,
anderbois2015,anderbois2013.pdf (https://dl.airtable.com/GdvL2qvzT26DtNw8nouw_anderbois2013.pdf),,At-issue Proposals and Appositive Impositions in Discourse,"anderbois-s,brasoveanu-a,henderson-r",2015,article-journal,,Journal of Semantics,,Oxford University Press,,,,,,,10.1093/jos/fft014
bach1994,impliciture.htm.pdf (https://dl.airtable.com/PV84eHeFRD6ZIOol2gR2_impliciture.htm.pdf),,Conversational Impliciture,bach-k,1994,article-journal,,Mind and Language,,Wiley Online Library,,124-162,,9,,,
bealer1997,bealer-selfconsciousness.pdf (https://dl.airtable.com/fBmqgkuARaOs7lTLJjTX_bealer-selfconsciousness.pdf),,Self-Consciousness,bealer-g,1997 ,article-journal,,The Philosophical Review,,,,69-117,,106,,1,
bengson2011,bengson moffett - nonpropositional intellectualism.pdf (https://dl.airtable.com/lAKVWq2hQNuZD5Wr6dPj_bengson%20moffett%20-%20nonpropositional%20intellectualism.pdf),,Nonpropositional intellectualism,"bengson-j,moffett-m",2011,chapter,,Knowing how,,Oxford University Press,,161-195,,,,,
bengson2012,,,"Know How: Essays on knowledge, mind, and action","bengson-j,moffett-m",2012 ,book,,,"bengson-j,moffett-m",Oxford University Press,,,,,,,
bittner2011,bittner11_tam.pdf (https://dl.airtable.com/qzkRuydPRga7vgciGzLU_bittner11_tam.pdf),,Time and modality without tenses or modals,bittner-m,2011,chapter,,Tense across languages,,Niemeyer,,147-188,,,,,
blumbergforthcoming,blumberg-counterfactualattitudesrelationalanalysis.pdf (https://dl.airtable.com/8rPxDPuRmR9as0H7b5qQ_blumberg-counterfactualattitudesrelationalanalysis.pdf),,Counterfactual attitudes and the relational analysis,blumberg-k,,article-journal,,Mind,,,,,,,,,
bontly2005,bontly2005.pdf (https://dl.airtable.com/MQLsS2KkSM9QzgBEH6zF_bontly2005.pdf),,Modified occam’s razor: Parsimony arguments and pragmatic explanations,bontly-t,2005,article-journal,,Mind and Language,,,,288-312,,20,,,
brasoveanuMS,att1ATvt5if8899iY-28x36.png (https://dl.airtable.com/vKOaQQkREux4ph0I23PQ_att1ATvt5if8899iY-28x36.png),,Structured anaphora to quantifier domains: A unified account of quantificational & modal subordination and exceptional wide scope,brasoveanu-a,,manuscript,,,,,,,,,,,
bratman1988,bratman israel pollack - planning agents.pdf (https://dl.airtable.com/gvw6yxyKRh2v3gd5g0uF_bratman%20israel%20pollack%20-%20planning%20agents.pdf),,Plans and resource-bounded practical reasoning,"bratman-m,pollack-m,israel-d",1988 ,article-journal,,Computational Intelligence,,,,349-355,,4,4,,
bratman2009,bratman - shared agency.pdf (https://dl.airtable.com/5Yr3ZGO5Sru35aMm1wQq_bratman%20-%20shared%20agency.pdf),,Shared agency,bratman-m,2009 ,chapter,,Philosophy of the social sciences: Philosophical theory and scientific practice,mantzavinos-c,Cambridge University Press,,,,,,,
buering2008,buering2008.pdf (https://dl.airtable.com/qRpzhbT1WwdJH2irSz6w_buering2008.pdf),,What’s New and What’s Given in the Theory of Focus,buring-d,2008 ,chapter,,Berkeley Linguistics Society,,,,,,,,,
buring2003,buering2003.pdf (https://dl.airtable.com/qImytDKoR36C5L2bGX7Z_buering2003.pdf),,"On d-trees, beans, and b-accents",büring-d,2003,article-journal,,Linguistics and Philosophy,,Springer,,511-545,,26,,5,
camp2006,camp - contextualism metaphor what said.pdf (https://dl.airtable.com/vvWwNYT3SRAh8QtHqcpw_camp%20-%20contextualism%20metaphor%20what%20said.pdf),,"Contextualism, metaphor, and what is said",camp-e,2006,article-journal,,Mind and Language,,Wiley-Blackwell,,280-309,,21,,3,
cappelen2003,,,Context Shifting Arguments,"cappelen-h,lepore-e",2003 ,article-journal,,Nous,,Blackwell Publishing,,25-50,,37,,,
cappelen2005,,,Insensitive Semantics,"cappelen-h,lepore-e",2005 ,book,,,,Blackwell Publishing,,,,,,,
cappelen2006a,cappelen2006a.pdf (https://dl.airtable.com/QEX7aia8SdWeJBFw6VYE_cappelen2006a.pdf),,Shared Content,"cappelen-h,lepore-e",2006 ,chapter,,The Oxford Handbook of Philosophy of Language,"lepore-e,smith-b",Oxford University Press,,1020-1055,,,,,
Cappelen2008,cappelen2008.pdf (https://dl.airtable.com/Mb2Q7bzNSLawR2bJYS10_cappelen2008.pdf),,The Creative Interpreter: Content Relativism and Assertion,cappelen-h,2008 ,article-journal,,Nous,,Blackwell Publishing,,23-46,,42,,,
cappelen2009,cappelen2009.pdf (https://dl.airtable.com/m4dBYvAREe4z8U0KTR4r_cappelen2009.pdf),,Relativism and Monadic Truth,"cappelen-h,hawthorne-j",2009 ,book,,,,Oxford University Press,,,,,,,
cappelen2010,cappelen - assertion.pdf (https://dl.airtable.com/vExnHwUWQdelYBowui95_cappelen%20-%20assertion.pdf),,Against assertion,cappelen-h,2010 ,chapter,,Assertion,"brown-j,cappelen-h",Oxford University Press,,,,,,,
carlson2005,carlson-genericreference.pdf (https://dl.airtable.com/5AEDKY9CSmWVTQkUXJby_carlson-genericreference.pdf),,Generic reference,carlson-g,2005 ,chapter,,Encyclopedia of language and linguistics,barber-a,Elsevier,,,,,,,
chalmers2006,chalmers2006.pdf (https://dl.airtable.com/rzL7nkr5RAuCEBqPBVFz_chalmers2006.pdf),,Scott Soames two-dimensionalism,chalmers-d,2006 ,manuscript,,,,,,,,,,,
chalmers2011,chalmers-ms.pdf (https://dl.airtable.com/w8K5rAvES5OHk6t76fk5_chalmers-ms.pdf),,Propositions and Attitude Ascriptions: A Fregean Account,chalmers-d,2011 ,article-journal,,Nous,,,,595-639,,45,4,,
ciardelli2015,inqd-synthese2013-final.pdf (https://dl.airtable.com/ukBn0YiRwWW2E0heLx8b_inqd-synthese2013-final.pdf),,On the semantics and logic of declaratives and interrogatives,"ciardelli-i,roelofsen-f,groenendijk-j",2015,article-journal,,Synthese,,Springer Netherlands,,1689-1728,,192,,6,
Ciardelli2017-CIACA,,,Composing alternatives,"ciardelli-i,roelofsen-f,theiler-n",2017 ,article-journal,,Linguistics and Philosophy,,,,1-36,,40,,1,
clark1986,clark-wilkes-gibbs-collaborative-reference.pdf (https://dl.airtable.com/jy73eSzBS5Sy3mtkfX0T_clark-wilkes-gibbs-collaborative-reference.pdf),,Referring as a collaborative process,"clark-h,wilkes-gibbs-d",1986,article-journal,,Cognition,,,,1-39,,22,,1,
clark1989,clark-schaefer-contributing-to-discourse.pdf (https://dl.airtable.com/I0VMe8NKTgKzcdm2gI9g_clark-schaefer-contributing-to-discourse.pdf),,Contributing to discourse,"clark-h,schaefer-e",1989,article-journal,,Cognitive Science,,,,259-294,,13,,2,
clark1992,,,Arenas of language use,clark-h,1992 ,book,,,,University of Chicago Press,,,,,,,
clark1992a,clark-schaefer-contributing-to-discourse.pdf (https://dl.airtable.com/VtyXeIjWQ7OsIYVrojyn_clark-schaefer-contributing-to-discourse.pdf),,Contributing to discourse,"clark-h,schaefer-e",1992,chapter,,Arenas of Language Use,,University of Chicago Press,,144-175,5,,,,
clark1992a,clark-schaefer-contributing-to-discourse.pdf (https://dl.airtable.com/8bcRDodnST2L9KbzY1Fw_clark-schaefer-contributing-to-discourse.pdf),,Contributing to discourse,"clark-h,schaefer-e",1992 ,chapter,,Arenas of Language Use,,University of Chicago Press,,144-175,,,,,
clark1992b,,,"Worlds, the world, and their possibilities",clark-h,1992 ,chapter,,Arenas of Language Use,,University of Chicago Press,,366-380,,,,,
